LPA Number,Borough,Valid date,Status,Application type,Description,Site name,Site number,Street name,Locality,Postcode,Actual commencement date,Actual completion date,Total number of proposed residential units,Total number of existing residential units,Units Proposed,Units Lost,Net Units,Total units with commencement date,Toal units with completion date,Decision,Decision date,Appeal decision,Appeal decision date,URL planning application
23/P0088,Merton,12/01/2023,Approved,All Other,PROPOSED CHANGE OF USE FROM A SINGLE DWELLING HOUSE (CLASS C3) TO A 3 PERSON HMO (CLASS C4),,54,Ashtree Avenue,Mitcham,CR4 3DR,,,,,1,1,0,,,Approved,13/02/2023,,,http://planning.merton.gov.uk/Northgate/PlanningExplorer/DisplayAppDetails.aspx?AppNo=23/P0088
P/3366/21,Harrow,10/08/2021,Approved,All Other,Conversion of dwelling into two flats (1 X 2 bed & 1 X 3 bed);External alterations; Separate amenity space; parking; Refuse and cycle storage,91 Elmsleigh Avenue Harrow HA3 8HY,91,Elmsleigh Avenue,Harrow,HA3 8HY,,,,,2,1,1,,,Approved,05/05/2022,,,http://site.com?appref=P/3366/21-or-1150421
21/04930/FULL1,Bromley,17/11/2021,Approved,All Other,"Demolition of existing dwelling. Erection of two storey six-bedroom detached dwelling with accommodation in the loft space, integrated double garage, new driveway with altered vehicle access to form an in/out driveway and a detached garden room..",,8,Longdon Wood,,BR2 6EW,,,,,1,1,0,,,Approved,11/05/2022,,,
22/02098/FULL,London Borough of Barking and Dagenham,07/12/2022,Approved,All Other,Change of use of the existing caretakers house (C3) to a new SEN support centre (F1) and construction of single storey extensions to the east and west elevations,"Trinity School, School Site",,HEATHWAY,,RM10 7SJ,,,,,0,1,-1,,,Approved,24/02/2023,,,https://online-befirst.lbbd.gov.uk/planning/index.html?fa=getApplication&id=31413
222670FUL,Ealing,20/06/2022,Approved,All Other,First floor rear extension to provide a residential unit,135 The Broadway,,The Broadway,Southall,UB1 1LW,,,,,1,0,1,,,Approved,13/10/2022,,,https://pam.ealing.gov.uk/online-applications/PLAN/222670FUL;
22/3959/FUL,London Borough of Barnet,02/08/2022,Approved,All Other,Demolition of the existing dwelling and outbuildings and erection of a replacement dwelling with rooms in the roofspace.,Hillsborough Cottage,4,Horseshoe Lane,Whetstone,N20 8NJ,,,,,1,1,0,,,Approved,06/12/2022,,,
21/5313/OUT,London Borough of Barnet,07/10/2021,Allowed,All Other,"Part demolition of existing garage and erection of new building to the rear to provide 3 no. self-contained flats. Associated amenity space, provision of off street parking",,70,Shurland Avenue,East Barnet,EN4 8DD,,,,,3,0,3,,,Refused,13/01/2022,,,
22/00215/FULL,City of London,22/03/2022,Approved,All Other,"Extensions and alterations to the rear and interior of the existing office building (Use Class E) to provide upgraded office space at floors lower ground to 3, along with the provision of one residential dwelling (Use Class C3) within a newly created two storey roof extension levels 4 and 5 with a small roof terrace at 4th floor.",,9,Newbury Street,,EC1A 7HU,,,,,1,0,1,,,Approved,28/07/2022,,,
2022/4103/P,Camden,19/10/2022,Approved,All Other,"Erection of dormer extension on rear roof slope, formation of roof terrace with metal balustrade on three storey rear extension and a roof light in the front roof slope.",Flat B,,Medley Road,London,NW6 2HJ,,,,,1,1,0,,,Approved,14/12/2022,,,https://planningrecords.camden.gov.uk/Northgate/PlanningExplorer/DisplayAppDetails.aspx?AppNo=2022/4103/P
22/00105/FULL,City of London,04/02/2022,Approved,All Other,"Change of use at basement, ground, first, second and third floor levels from hotel (Class C1 use) to a flexible use for either Class C1 or Class C3 purposes to provide seven units of accommodation; Erection of a set-back roof extension for a flexible use for either Class C1 or Class C3 purposes to provide two additional units of accommodation (9 in total); External alterations comprising retention and repair of Newbury Street facade, demolition of the rear facade and its remodelling in brick; the addition of two new (fourth and fifth) floors with amenity spaces enclosed by metal balustrades; and the installation of a sedum roof.",Newbury House10 - 13 Newbury StreetLondonEC1A 7HU,,,,,,,,,9,0,9,,,Approved,15/07/2022,,,
23/00052/FUL,London Borough of Bexley,10/01/2023,Approved,All Other,"Erection of a two storey detached 3 bedroom dwelling with cycle store, refuse store and car parking at the rear.",,6,Pembury Crescent,,DA14 4QD,,,,,1,0,1,,,Approved,07/03/2023,,,
